City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,tiksi,71.6872,128.8694,-1.25,74,95,10.53,RU,1695762218
110,plouzane,48.3833,-4.6167,17.1,100,100,4.12,FR,1695762259
111,ylitornio,66.3089,23.6773,10.44,81,49,3.88,FI,1695762310
112,xining,36.6167,101.7667,9.36,81,100,0.43,CN,1695762018
113,boa vista,2.8197,-60.6733,35.99,36,75,3.09,BR,1695762191
114,khilok,51.3674,110.4676,4.89,98,98,2.04,RU,1695762311
115,jinan,36.6683,116.9972,16.6,81,4,0.95,CN,1695762311
116,greenville,35.6127,-77.3663,24.09,78,75,6.17,US,1695762141
117,semey,50.4111,80.2275,4.96,63,61,1.09,KZ,1695762312
118,cooma,-36.2333,149.1333,9.3,90,93,0.92,AU,1695762313
119,port lincoln,-34.7333,135.8667,12.84,70,73,5.84,AU,1695762223
120,zheleznogorsk,52.331,35.3711,12.29,73,50,3.09,RU,1695762313
121,lebu,-37.6167,-73.65,10.16,63,4,6.71,CL,1695762219
122,timmins,48.4669,-81.3331,18.9,37,20,3.6,CA,1695762033
123,aykhal,66.0,111.5,1.03,79,100,7.04,RU,1695762314
124,taos,36.4072,-105.5731,27.21,21,0,4.12,US,1695762108
125,tindouf,27.6711,-8.1474,33.25,14,0,5.14,DZ,1695762314
126,oranjemund,-28.55,16.4333,13.78,87,0,6.43,NA,1695762314
127,alice springs,-23.7,133.8833,13.75,41,4,3.09,AU,1695762315
128,nosy varika,-20.5833,48.5333,19.63,90,16,1.95,MG,1695762315
129,kodiak,57.79,-152.4072,11.73,43,0,4.12,US,1695762315
130,sao felix do xingu,-6.6447,-51.995,35.36,28,78,0.78,BR,1695762039
131,black point,-34.6187,137.8972,13.23,73,89,6.23,AU,1695762316
132,san luis de la loma,17.2706,-100.8939,30.68,72,26,2.99,MX,1695762316
133,whitehorse,60.7161,-135.0538,5.57,89,100,1.54,CA,1695762215
134,jayapura,-2.5333,140.7,24.66,93,100,2.3,ID,1695762317
135,ferentino,41.6953,13.2564,21.05,40,0,2.36,IT,1695762317
136,polyarnyy,69.1989,33.4478,9.61,92,94,5.81,RU,1695762317
137,la sarre,48.8002,-79.1996,18.77,40,0,2.91,CA,1695762160
138,qaqortoq,60.7167,-46.0333,3.63,57,0,0.93,GL,1695762318
139,coronel suarez,-37.4547,-61.9334,11.22,86,53,4.73,AR,1695762028
140,lincheng,19.9078,109.6858,26.26,90,86,6.07,CN,1695762318
141,hasaki,35.7333,140.8333,22.38,86,44,0.48,JP,1695762318
142,hamilton,39.1834,-84.5333,29.13,54,40,4.63,US,1695762218
143,bucerias,20.75,-105.3333,33.32,74,40,3.09,MX,1695762267
144,lompoc,34.6391,-120.4579,33.77,62,0,10.29,US,1695762052
145,tanumah,27.1,44.1333,29.12,12,0,4.87,SA,1695762319
146,reggane,26.7158,0.1714,36.24,11,1,2.68,DZ,1695762320
147,mgandu,-5.95,34.1333,22.98,37,42,3.28,TZ,1695762320
